location_id,location,lng,lat,centreline_type,centreline_id,px,latest_count_id,latest_count_date
1146,ELLESMERE RD AT PARKINGTON CRES (PX 2296),-79.2463,43.77332,2,13446642,2296,33447,4/5/2016
1981,YORK MILLS RD E/B & W/B TO DON VALLEY PKWY N/B,-79.3347,43.75733,1,440171,,13907,4/8/2004
3925,RIPLEY AVE AT SOUTH KINGSWAY,-79.4753,43.63678,2,13468657,,6875,########
3926,BLOOR ST AT SOUTH KINGSWAY & RIVERVIEW GARDENS (PX 334),-79.4858,43.64831,2,13467247,334,38297,########
3927,LAKE SHORE BLVD AT LESLIE ST (PX 206),-79.3284,43.65924,2,13465121,206,30067,########
3928,BRITISH COLUMBIA RD AT LAKE SHORE BLVD (PX 1344),-79.4292,43.63143,2,13469154,1344,36533,########
3929,JAMESON AVE AT LAKE SHORE BLVD W/B (PX 224),-79.4346,43.63334,2,13468970,224,36339,########
3930,LAKE SHORE BLVD AT ONTARIO DR & REMEMBRANCE DR (PX 930),-79.4198,43.63043,2,13469216,930,36535,########
3931,LAKE SHORE BLVD AT STRACHAN AVE (PX 222),-79.4087,43.63444,2,13468803,222,36539,########
3932,BASTION ST AT FLEET ST AND LAKE SHORE BLVD W (PX 299),-79.4035,43.63591,2,20054541,299,27543,########
3933,LAKE SHORE BLVD AT REES ST (PX 1408),-79.387,43.63993,2,13468195,1408,37143,4/4/2018
3934,LAKE SHORE BLVD W AT LONG BRANCH AVE (PX 240),-79.534,43.59436,2,13470639,240,39943,########
3935,AVENUE RD AT LONSDALE RD (PX 113),-79.403,43.69078,2,13459836,113,33733,########
3936,LAKE SHORE BLVD AT LEGION RD (PX 1994),-79.4833,43.62051,2,13469793,1994,40587,########
3937,CHRISTIE COOKIES ACCESS AT LAKE SHORE BLVD E OF PARKLAWN(PX 1784),-79.4797,43.62601,1,30070006,1784,34509,########
3938,DON VALLEY PKWY AT WYNFORD DR WTCS (PX 1037),-79.3309,43.72667,2,13453914,1037,26267,########
3939,BLACK CREEK DR AT EGLINTON AVE (PX 1422),-79.4829,43.68837,2,13460466,1422,41169,########
3940,BLACK CREEK DR AT LAWRENCE AVE (PX 1348),-79.4941,43.70495,2,13457600,1348,40781,########
3941,FOUR OAKS GT AT O CONNOR DR (PX 1923),-79.3342,43.69675,2,13458523,1923,29545,1/8/2013
3942,NORTHRIDGE AVE AT O CONNOR DR,-79.3338,43.69682,2,13458504,,21649,########
3943,O CONNOR DR AT ST CLAIR AVE (PX 447),-79.3128,43.7054,2,13457092,447,35803,########
3944,O CONNOR DR AT WAKUNDA PL,-79.3049,43.71599,2,13455374,,37829,########
3946,BIRCHCLIFF AVE AT KINGSTON RD (PX 155),-79.2648,43.69148,2,13459344,155,33763,########
3947,KINGSTON RD AT SANDOWN AVE (PX 152),-79.2498,43.70878,2,13456405,152,24919,########
3948,KINGSTON RD AT MIDLAND AVE (PX 151),-79.2482,43.71112,2,13456025,151,26099,########
3949,CHINE DR AT KINGSTON RD (PX 1025),-79.2451,43.71411,2,13455525,1025,26317,########
3950,BROOKLAWN AVE AT KINGSTON RD & ST CLAIR AVE (PX 150),-79.236,43.72203,2,13454337,150,34967,########
3951,BELLAMY RD S AT KINGSTON RD & RAVINE DR (PX 1027),-79.2246,43.73206,2,13452797,1027,25953,########
3952,KINGSTON RD AT SCARBOROUGH GOLF CLUB RD (PX 1053),-79.2093,43.746,2,13450532,1053,40889,########
3953,KINGSTON RD AT LAWRENCE AVE (PX 144),-79.1896,43.76765,2,13447347,144,40913,########
3954,CELESTE DR AT KINGSTON RD (PX 1193),-79.1993,43.75704,2,13448888,1193,24889,########
3955,COLLINSGROVE RD AT KINGSTON RD,-79.185,43.77261,2,13446613,,29537,########
3956,BROOKSIDE DR AT KINGSTON RD & WAVERLEY RD (PX 161),-79.3041,43.67695,2,13462091,161,33815,########
3957,KINGSTON RD AT MAIN ST & SOUTHWOOD DR (PX 160),-79.298,43.67889,2,13461728,160,35823,########
3958,HIGHWAY 2A AT KINGSTON RD & HIGHWAY 401 EB OFF RAMP (PX 1202),-79.1525,43.79489,2,13503044,1202,37255,########
3959,MILLWICK DR AT MILVAN DR (PX 1558),-79.5661,43.76059,2,13449110,1558,28375,########
3960,BELMONT ST AT DAVENPORT RD & NEW ST (PX 541),-79.3929,43.67471,2,13462718,541,39745,########
3961,SENECA AVE AT WESTON RD,-79.4755,43.68035,2,13461911,,6911,########
